Peserta,Kelompok,Pemahaman pre (0-100),Pemahaman post (0-100),Selisih pemahaman,Kapabilitas pre (1-5),Kapabilitas post (1-5),Perubahan kapabilitas,Problem & User Understanding pre (1-5),Problem & User Understanding post (1-5),Problem & User Understanding perubahan,MVP & Solution Thinking pre (1-5),MVP & Solution Thinking post (1-5),MVP & Solution Thinking perubahan,AI-Assisted Problem Solving pre (1-5),AI-Assisted Problem Solving post (1-5),AI-Assisted Problem Solving perubahan,"Testing, Collaboration & Confidence pre (1-5)","Testing, Collaboration & Confidence post (1-5)","Testing, Collaboration & Confidence perubahan",Pengalaman setelah program (1-5)
P01,Non-Core,0% (0/4),100% (4/4),+100,2.58,4.67,+2.09,2.75,4.75,+2.00,3.00,4.00,+1.00,2.33,5.00,+2.67,2.50,4.50,+2.00,5.00
P02,Non-Core,0% (0/4),100% (4/4),+100,3.50,4.50,+1.00,3.25,4.50,+1.25,2.00,4.00,+2.00,3.67,4.67,+1.00,4.00,4.50,+0.50,4.75
P03,Non-Core,25% (1/4),100% (4/4),+75,2.67,4.83,+2.16,2.25,4.75,+2.50,2.00,4.00,+2.00,2.67,5.00,+2.33,3.25,5.00,+1.75,5.00
P04,Non-Core,50% (2/4),100% (4/4),+50,2.58,4.58,+2.00,2.25,4.50,+2.25,2.00,4.00,+2.00,2.67,4.67,+2.00,3.00,4.75,+1.75,5.00
P05,Non-Core,50% (2/4),100% (4/4),+50,2.75,4.67,+1.92,2.75,4.00,+1.25,3.00,5.00,+2.00,3.00,5.00,+2.00,2.50,5.00,+2.50,5.00
P06,Non-Core,50% (2/4),100% (4/4),+50,2.83,4.08,+1.25,2.75,3.75,+1.00,3.00,4.00,+1.00,2.67,4.00,+1.33,3.00,4.50,+1.50,4.75
P07,Non-Core,50% (2/4),100% (4/4),+50,3.25,4.33,+1.08,3.00,4.50,+1.50,3.00,4.00,+1.00,3.67,4.33,+0.66,3.25,4.25,+1.00,4.75
P08,Technical Core,75% (3/4),100% (4/4),+25,3.00,4.92,+1.92,2.75,5.00,+2.25,2.00,5.00,+3.00,3.67,5.00,+1.33,3.00,4.75,+1.75,5.00
P09,Non-Core,75% (3/4),100% (4/4),+25,3.25,4.25,+1.00,3.50,3.75,+0.25,3.00,4.00,+1.00,3.00,4.67,+1.67,3.25,4.50,+1.25,5.00
P10,Non-Core,75% (3/4),100% (4/4),+25,3.42,4.92,+1.50,3.00,4.75,+1.75,4.00,5.00,+1.00,4.00,5.00,+1.00,3.25,5.00,+1.75,5.00
P11,Technical Core,75% (3/4),100% (4/4),+25,3.67,5.00,+1.33,3.25,5.00,+1.75,3.00,5.00,+2.00,4.33,5.00,+0.67,3.75,5.00,+1.25,5.00
P12,Non-Core,100% (4/4),100% (4/4),0,2.42,4.92,+2.50,2.75,4.75,+2.00,1.00,5.00,+4.00,2.33,5.00,+2.67,2.50,5.00,+2.50,5.00
P13,Non-Core,100% (4/4),100% (4/4),0,2.67,4.75,+2.08,2.50,4.50,+2.00,3.00,4.00,+1.00,2.67,5.00,+2.33,2.75,5.00,+2.25,5.00
P14,Non-Core,100% (4/4),100% (4/4),0,3.17,4.58,+1.41,2.75,4.25,+1.50,3.00,5.00,+2.00,3.67,4.67,+1.00,3.25,4.75,+1.50,5.00
P15,Non-Core,100% (4/4),100% (4/4),0,3.58,4.67,+1.09,3.75,4.75,+1.00,4.00,4.00,0.00,3.67,4.67,+1.00,3.25,4.75,+1.50,4.75
P16,Technical Core,100% (4/4),100% (4/4),0,3.67,4.92,+1.25,3.75,5.00,+1.25,4.00,5.00,+1.00,3.67,4.67,+1.00,3.50,5.00,+1.50,5.00
P17,Technical Core,100% (4/4),100% (4/4),0,3.83,5.00,+1.17,4.00,5.00,+1.00,4.00,5.00,+1.00,3.67,5.00,+1.33,3.75,5.00,+1.25,5.00
P18,Technical Core,100% (4/4),100% (4/4),0,4.00,4.92,+0.92,4.25,5.00,+0.75,4.00,5.00,+1.00,4.33,4.67,+0.34,3.50,5.00,+1.50,4.75
P19,Technical Core,100% (4/4),100% (4/4),0,4.25,5.00,+0.75,4.25,5.00,+0.75,4.00,5.00,+1.00,5.00,5.00,0.00,3.75,5.00,+1.25,5.00
P20,Technical Core,100% (4/4),100% (4/4),0,4.33,4.92,+0.59,4.75,5.00,+0.25,4.00,5.00,+1.00,4.33,4.67,+0.34,4.00,5.00,+1.00,5.00
